693,122Xe,68,54,7.236*10^4,beta+,122
694,255Fm,155,100,7.225*10^4,"alpha,SF ",255
695,95Tc,52,43,7.2*10^4,beta+,95
696,181Re,106,75,7.164*10^4,beta+,181
697,197Pt,119,78,7.161*10^4,beta-,197
698,135La,78,57,7.020*10^4,beta+,135
699,194Ir,117,77,6.941*10^4,beta-,194
700,142Pr,83,59,6.883*10^4,"beta-,EC ",142
701,200mAu,121,79,6.732*10^4,"beta-,IT ",200
702,159Gd,95,64,6.652*10^4,beta-,159
703,135Ce,77,58,6.372*10^4,beta+,135
704,193Au,114,79,6.354*10^4,beta+,193
705,151Tb,86,65,6.339*10^4,"beta+,alpha ",151
706,55Co,28,27,6.311*10^4,beta+,55
707,152Tb,87,65,6.300*10^4,"beta+,alpha ",152
708,188Re,113,75,6.121*10^4,beta-,188
709,125Xe,71,54,6.084*10^4,beta+,125
710,97Zr,57,40,6.028*10^4,beta-,97
711,186Ir,109,77,5.990*10^4,beta+,186
712,86Zr,46,40,5.940*10^4,beta+,86
713,76Br,41,35,5.832*10^4,beta+,76
714,119Te,67,52,5.778*10^4,"EC,e+ ",119
715,242Am,147,95,5.767*10^4,"beta-,EC ",242
716,170Hf,98,72,5.764*10^4,beta+,170
717,157Eu,94,63,5.465*10^4,beta-,157
718,24Na,13,11,5.382*10^4,beta-,24
719,76Kr,40,36,5.328*10^4,beta+,76
720,86Y,47,39,5.306*10^4,beta+,86
721,211Rn,125,86,5.256*10^4,"beta+,alpha ",211
722,90Nb,49,41,5.256*10^4,beta+,90
723,185Ir,108,77,5.184*10^4,beta+,185
724,240U,148,92,5.076*10^4,beta-,240
725,72Ga,41,31,5.074*10^4,beta-,72
726,69mZn,39,30,4.954*10^4,"IT,beta- ",69
727,109Pd,63,46,4.932*10^4,beta-,109
728,87mY,48,39,4.813*10^4,"IT,beta+ ",87
729,123I,70,53,4.760*10^4,beta+,123
730,191mOs,115,76,4.716*10^4,IT,191
731,183Os,107,76,4.680*10^4,beta+,183
732,150mEu,87,63,4.608*10^4,"beta-,beta+",150
733,64Cu,35,29,4.572*10^4,"beta+,beta- ",64
734,182mRe,107,75,4.572*10^4,beta+,182
735,200Pt,122,78,4.500*10^4,beta-,200
736,130I,77,53,4.450*10^4,beta-,130
737,42K,23,19,4.436*10^4,beta-,42
738,171Hf,99,72,4.356*10^4,beta+,171
739,239Am,144,95,4.284*10^4,"beta+,alpha ",239
740,193mHg,113,80,4.248*10^4,"beta+,IT ",193
741,203Bi,120,83,4.234*10^4,beta+,203
742,77Ge,45,32,4.068*10^4,beta-,77
743,204Bi,121,83,4.039*10^4,beta+,204
744,189Pt,111,78,3.913*10^4,beta+,189
745,212Pb,130,82,3.830*10^4,beta-,212
746,195Hg,115,80,3.791*10^4,beta+,195
747,175Ta,102,73,3.780*10^4,beta+,175
748,245Pu,151,94,3.780*10^4,beta-,245
749,187Ir,110,77,3.780*10^4,beta+,187
750,165Er,97,68,3.730*10^4,beta+,165
751,93Y,54,39,3.665*10^4,beta-,93
752,244Am,149,95,3.636*10^4,beta-,244
753,266Lr,163,103,3.600*10^4,SF,266
754,154m1Tb,89,65,3.598*10^4,"beta+,IT",154
755,183mOs,107,76,3.564*10^4,"beta+,IT",183
756,155Dy,89,66,3.564*10^4,beta+,155
757,91Sr,53,38,3.467*10^4,beta-,91
758,196m2Au,117,79,3.456*10^4,IT,196
759,66Ga,35,31,3.416*10^4,beta+,66
760,156Sm,94,62,3.384*10^4,beta-,156
761,127Te,75,52,3.366*10^4,beta-,127
762,201Pb,119,82,3.359*10^4,beta+,201
763,152mEu,89,63,3.352*10^4,"beta-,beta+",152
764,62Zn,32,30,3.307*10^4,beta+,62
765,135Xe,81,54,3.290*10^4,beta-,135
766,58mCo,31,27,3.276*10^4,IT,58
767,128Sb,77,51,3.244*10^4,beta-,128
768,137Ce,79,58,3.24*10^4,beta+,137
769,234Pu,140,94,3.168*10^4,"beta+,alpha ",234
770,184Ta,111,73,3.132*10^4,beta-,184
771,250Es,151,99,3.096*10^4,"beta+,alpha ",250
772,101Pd,55,46,3.049*10^4,beta+,101
773,52Fe,26,26,2.979*10^4,beta+,52
774,173Tm,104,69,2.966*10^4,beta-,173
775,180Ta,107,73,2.935*10^4,"EC,beta- ",180
776,157Dy,91,66,2.930*10^4,beta+,157
777,210At,125,85,2.916*10^4,"beta+,alpha ",210
778,176Ta,103,73,2.912*10^4,beta+,176
779,166Tm,97,69,2.772*10^4,beta+,166
780,256mEs,157,99,2.736*10^4,beta-,256
781,171Er,103,68,2.706*10^4,beta-,171
782,199Tl,118,81,2.671*10^4,beta+,199
783,211At,126,85,2.597*10^4,"beta+,alpha ",211
784,73Se,39,34,2.574*10^4,beta+,73
785,93mMo,51,42,2.466*10^4,"IT,beta+ ",93
